,brand,ingredients_rating,product_count,avg_customer_rating
0,AMOREPACIFIC,75.56666666666666,10,4.433333333333334
1,Algenist,75.84545454545452,22,4.23076923076923
2,Alpha-H,75.07500000000002,8,4.499999999999999
3,Anthony,71.23333333333333,4,4.050000000000001
4,BECCA Cosmetics,73.35,2,4.2
5,BeautyBio,74.12857142857142,7,4.566666666666666
6,Biossance,77.28888888888889,10,4.214285714285714
7,Bobbi Brown,70.77142857142857,8,4.199999999999999
8,CLINIQUE,77.43676470588237,68,3.9631578947368427
9,COOLA,71.2,8,4.171428571428572
10,Caudalie,70.89999999999999,20,4.220000000000001
11,Charlotte Tilbury,72.66250000000001,8,3.95
12,Clarins,63.52666666666666,18,4.2
13,Dermalogica,66.73750000000001,26,4.294117647058824
14,Dior,69.52083333333333,24,4.133333333333334
15,Dr Roebuck's,90.85,2,
16,Dr. Barbara Sturm,78.72857142857143,28,3.9333333333333336
17,Dr. Brandt Skincare,72.26666666666667,10,4.2
18,Dr. Dennis Gross Skincare,80.36111111111113,18,4.1125
19,Dr. Jart+,77.29473684210527,22,4.026666666666667
20,Dr. Lara Devgan Scientific Beauty,90.35,2,
21,Dr. Zenovia Skincare,84.76666666666667,9,4.46
22,Drunk Elephant,83.25714285714287,18,4.093333333333333
23,Edible Beauty,69.6,7,4.45
24,Erborian,63.2,5,4.275
25,Erno Laszlo,72.33333333333333,3,4.466666666666666
26,Estée Lauder,74.89999999999999,24,4.233333333333333
27,Eve Lom,62.53333333333333,4,3.6500000000000004
28,FARSÁLI,67.925,8,3.7857142857142856
29,FOREO,78.2,1,2.0
30,Farmacy,73.68888888888888,10,4.2
31,First Aid Beauty,81.81875,16,4.225
32,Fresh,65.11428571428571,21,4.233333333333333
33,GLAMGLOW,71.23,10,4.3
34,Glow Recipe,77.02000000000001,7,4.3
35,Guerlain,69.55,6,4.0
36,Herbivore,77.65714285714284,10,4.325
37,ILIA,75.23333333333333,3,3.8333333333333335
38,INC.redible,65.7,1,
39,IT Cosmetics,79.6875,16,4.0285714285714285
40,Indie Lee,61.65,2,3.6500000000000004
41,Jack Black,74.88333333333333,6,4.6
42,Josie Maran,77.57142857142858,11,4.175000000000001
43,KORA Organics,75.3,4,4.233333333333333
44,KORRES,73.5,8,3.8999999999999995
45,Kate Somerville,73.104,26,4.15625
46,Kiehl's Since 1851,65.84838709677422,31,4.053333333333333
47,Kopari,76.73333333333333,3,3.45
48,L'Occitane,61.78333333333333,6,4.45
49,LANCER Skincare,72.45,14,4.155555555555555
50,LANEIGE,71.05,8,4.016666666666667
51,LAWLESS,73.2,1,4.7
52,LXMI,79.45,2,
53,La Mer,68.54736842105264,19,4.044444444444444
54,Lab Series For Men,79.4,2,
55,Lancôme,63.44347826086957,23,4.3125
56,Laura Mercier,71.2,2,3.8
57,Lord Jones,86.0,1,
58,MILK MAKEUP,75.97,10,3.8
59,Marc Jacobs Beauty,74.7,3,
60,Mario Badescu,67.62666666666667,15,3.8200000000000003
61,Moon Juice,71.23333333333333,3,4.0
62,Murad,73.42962962962964,27,4.346153846153846
63,NARS,71.30000000000001,2,4.25
64,Natasha Denona,65.6,1,
65,Naturally Serious,70.89999999999999,6,4.45
66,NuFACE,73.2,1,4.3
67,OLEHENRIKSEN,70.50833333333334,12,4.249999999999999
68,OTZI,74.73333333333333,4,4.7
69,Obagi Clinical,76.47500000000001,5,4.199999999999999
70,Omorovicza,65.55999999999999,5,4.5
71,Origins,61.15185185185184,27,4.275
72,Peace Out,85.03333333333333,3,4.133333333333333
73,Perricone MD,69.78421052631579,19,4.422222222222222
74,Peter Thomas Roth,78.61428571428571,28,4.0
75,Pretty Vulgar,76.7,1,
76,Prima,83.8,2,4.2
77,Primera,76.49,11,4.38
78,Proactiv,69.56666666666666,9,4.7
79,REN Clean Skincare,64.69999999999999,25,4.064705882352941
80,SEPHORA COLLECTION,69.27391304347826,23,4.006666666666666
81,SK-II,73.225,8,4.166666666666667
82,SOBEL SKIN Rx,82.55999999999999,6,4.1
83,SUNDAY RILEY,74.37777777777778,12,4.057142857142857
84,Saturday Skin,71.5,5,4.4
85,Shani Darden Skin Care,77.725,4,4.366666666666667
86,Shiseido,61.264999999999986,41,4.194999999999999
87,Skin Laundry,72.4,1,4.3
88,Skinfix,82.05714285714285,7,4.525
89,Smashbox,76.0,1,
90,Sol de Janeiro,62.3,1,
91,St. Tropez,55.0,1,4.3
92,StackedSkincare,85.05,2,4.8
93,Sulwhasoo,65.68181818181819,12,4.25
94,Summer Fridays,72.89999999999999,3,4.05
95,Supergoop!,80.97142857142858,15,3.9857142857142853
96,Tata Harper,58.75,13,4.083333333333333
97,Tatcha,74.56666666666668,12,4.328571428571429
98,The INKEY List,78.14499999999998,20,4.199999999999999
99,The Ordinary,76.38499999999999,21,4.135714285714285
100,Too Faced,71.75,2,3.5
101,Volition Beauty,77.17999999999999,5,4.449999999999999
102,Wishful,72.4,2,4.1
103,Youth To The People,78.225,4,4.333333333333333
104,Yves Saint Laurent,71.35,10,4.7
105,alpyn beauty,78.03333333333335,3,4.533333333333333
106,bareMinerals,66.5,1,
107,belif,63.0,21,4.3100000000000005
108,boscia,80.92857142857143,8,4.18
109,goop,74.7,3,3.3
110,innisfree,72.03529411764707,18,4.2142857142857135
111,lilah b.,71.55,2,4.25
112,philosophy,71.4235294117647,17,4.328571428571428
113,tarte,73.06249999999999,16,4.009090909090909
